"Column","Type","Size","Nulls","Auto","Default","Children","Parents","Comments"
"batiment_groupe_id","varchar","22","√","","null","","","Identifiant du groupe de bâtiment au sens de la BDNB"
"code_departement_insee","varchar","2","√","","null","","","Code département INSEE"
"parcelle_unifiee_id","varchar","22","√","","null","","","Identifiant de la parcelle unifiée, au sens du Cerema"
"s_geom_groupe","int4","10","√","","null","","","Surface au sol de la géométrie du bâtiment groupe (geom_groupe)"
"code_iris","varchar","9","√","","null","","","Code iris INSEE"
"code_commune_insee","varchar","5","√","","null","","",""
"libelle_commune_insee","text","2147483647","√","","null","","","(insee) Libellé de la commune accueillant le groupe de bâtiment"
"code_epci_insee","text","2147483647","√","","null","","","Code de l’EPCI"
"contient_fictive_geom_groupe","bool","1","√","","null","","","Vaut “vrai”, si la géométrie du groupe de bâtiment est générée automatiquement et ne représente pas la géométrie du groupe de bâtiment."
"geom_groupe","geometry","2147483647","√","","null","","","Géométrie multipolygonale du groupe de bâtiment (Lambert-93)"
"cle_interop_adr_principale_ban","text","2147483647","√","","null","","","Clé d’interopérabilité de l’adresse principale (issue de la BAN)"
"cle_interop_adr_principale","text","2147483647","√","","null","","","clé d’interopérabilité de l’adresse principale"
"libelle_adr_principale_ban","text","2147483647","√","","null","","","Libellé complet de l’adresse principale (issue de la BAN)"
"libelle_adr_principale","text","2147483647","√","","null","","","libellé complet de l’adresse principale"
"nb_adresse","int4","10","√","","null","","","Nombre d’adresses"
"nb_adresse_valid","int4","10","√","","null","","","DEPRECIEE Nombre d’adresses valides différentes qui desservent le groupe de bâtiment"
"nb_adresse_valid_ban","int4","10","√","","null","","","Nombre d’adresses valides différentes provenant de la BAN qui desservent le groupe de bâtiment"
"fiabilite_cr_adr_niv_1","text","2147483647","√","","null","","","Fiabilité des données croisées à l’adresse (‘données croisées à l’adresse fiables’, ‘données croisées à l’adresse fiables à l’echelle de la parcelle unifiee’, ‘données croisées à l’adresse moyennement fiables’, ‘problème de géocodage’)"
"fiabilite_cr_adr_niv_2","text","2147483647","√","","null","","","Fiabilité détaillée des données croisées à l’adresse"
"dle_elec_conso_res_par_m2","numeric","17,3","√","","null","","","consommation electrique résidentielle ramené au m² (en surface résidentielle) kWh/m².an"
"dle_elec_conso_pro_par_m2","numeric","17,3","√","","null","","","consommation electrique professionnelle ramené au m² (en surface résidentielle) kWh/m².an"
"dle_elec_conso_tot_par_m2","numeric","17,3","√","","null","","","consommation electrique totale ramené au m² (en surface résidentielle) kWh/m².an"
"dle_gaz_conso_res_par_m2","numeric","17,3","√","","null","","","consommation gaz résidentielle ramené au m² (en surface résidentielle) kWh/m².an"
"dle_gaz_conso_pro_par_m2","numeric","17,3","√","","null","","","consommation gaz professionnelle ramené au m² (en surface résidentielle) kWh/m².an"
"dle_gaz_conso_tot_par_m2","numeric","17,3","√","","null","","","consommation gaz totale ramené au m² (en surface résidentielle) kWh/m².an"
"dle_reseau_conso_res_par_m2","numeric","17,3","√","","null","","","consommation RC résidentielle ramenée au m² (en surface résidentielle) kWh/m².an"
"dle_reseau_conso_pro_par_m2","numeric","17,3","√","","null","","","consommation RC professionnelle ramenée au m² (en surface résidentielle) kWh/m².an"
"dle_reseau_conso_tot_par_m2","numeric","17,3","√","","null","","","consommation RC totale ramenée au m² (en surface résidentielle) kWh/m².an"
"enethermo_conso_ener_res_par_m2","numeric","17,3","√","","null","","","(enethermo-ffo) consommation electrique résidentielle ramené au m² (en surface résidentielle) kWh/m².an"
"enethermo_conso_thermo_res_par_m2","numeric","17,3","√","","null","","","consommation thermosensibilité résidentielle ramené au m² (en surface résidentielle) kWh/m².an"
"fiabilite_emprise_sol","varchar","7","√","","null","","","Fiabilité de l’emprise au sol du bâtiment"
"fiabilite_hauteur","varchar","7","√","","null","","","Fiabilité de la hauteur du bâtiment"
"fiabilite_adresse","varchar","7","√","","null","","","Fiabilité des adresses du bâtiment : “vrai” si les Fichiers Fonciers et BDTOpo partagent au moins une même adresse BAN"
"croisement_geospx_reussi","bool","1","√","","null","","","le croisement géospatial entre la BDTOPO et les fichiers fonciers est considérée comme réussi"
"ffo_prop_personne_id_proprietaire_principal","text","2147483647","√","","null","","","(ffo:idpersonne) identifiant du proprietaire possédant la plus grande surface du bâtiment"
"ffo_prop_denomination_proprietaire_principal","text","2147483647","√","","null","","","(ffo:ddenom) identifiant du proprietaire possédant la plus grande surface du bâtiment"
"ffo_prop_groupe_proprietaire_principal","text","2147483647","√","","null","","","(ffo:ccogrmtxt) typologie du proprietaire principal (ETAT, DEPARTEMENT, OFFICE HLM …)"
"ffo_prop_nb_proprietaire","int4","10","√","","null","","","(ffo) Nombre de proprietaires differents qui possèdent des locaux dans le bâtiment"
