batiment_groupe_id;geom_groupe
bdnb-bg-16GJ-U46C-PSMB;MULTIPOLYGON (((843928.0 6578725.7,843923.1 6578731.5,843929.3 6578736.7,843929.6 6578739.5,843935.5 6578738.9,843936.2 6578743.9,843954.1 6578742.1,843953.5 6578737.1,843951.7 6578719.7,843951.1 6578714.8,843936.2 6578716.3,843936.7 6578721.3,843927.7 6578722.3,843928.0 6578725.7)))
bdnb-bg-192B-ZXDL-XMUH;MULTIPOLYGON (((863539.2 6584178.9,863536.4 6584161.3,863546.5 6584159.8,863549.1 6584177.4,863539.2 6584178.9)))
bdnb-bg-1FZ7-ESB7-JNWY;MULTIPOLYGON (((886414.1 6556328.4,886385.1 6556336.9,886381.9 6556326.2,886410.9 6556317.5,886414.1 6556328.4)))
bdnb-bg-1G97-WE5V-PB52;MULTIPOLYGON (((906149.4 6579062.6,906142.4 6579064.3,906143.4 6579066.9,906116.9 6579073.6,906113.6 6579061.5,906132.8 6579056.4,906129.9 6579044.4,906126.6 6579045.0,906129.6 6579054.6,906121.0 6579056.7,906117.9 6579045.7,906116.0 6579046.1,906110.6 6579024.8,906116.5 6579023.1,906115.2 6579017.9,906109.2 6579019.5,906104.3 6578998.3,906118.7 6578994.6,906124.2 6579018.0,906133.1 6579016.0,906132.2 6579012.0,906136.6 6579010.7,906139.8 6579025.5,906140.5 6579025.3,906142.2 6579031.8,906142.9 6579031.6,906148.5 6579053.4,906146.5 6579053.9,906149.4 6579062.6)))
bdnb-bg-1H8V-GNSP-7RTF;MULTIPOLYGON (((900881.5 6535470.9,900877.6 6535465.1,900889.4 6535457.1,900893.0 6535462.8,900886.4 6535467.3,900881.5 6535470.9)))
bdnb-bg-1K31-CNHL-GT52;MULTIPOLYGON (((938674.4 6582119.4,938678.2 6582119.4,938679.7 6582119.3,938682.4 6582119.4,938682.3 6582122.6,938689.0 6582122.9,938689.1 6582119.6,938697.2 6582119.8,938697.4 6582112.7,938698.9 6582112.7,938698.7 6582119.9,938702.5 6582120.0,938703.2 6582098.3,938699.4 6582098.2,938699.3 6582101.8,938697.8 6582101.7,938698.4 6582083.6,938690.8 6582083.4,938690.8 6582081.3,938685.5 6582081.1,938685.5 6582083.2,938680.9 6582083.1,938680.2 6582104.8,938674.9 6582104.7,938674.7 6582112.0,938674.6 6582115.4,938674.4 6582119.4)))
bdnb-bg-1QLW-E22N-JFJ1;MULTIPOLYGON (((851722.3 6527313.2,851717.8 6527320.2,851730.3 6527328.3,851734.9 6527321.3,851737 6527318,851727.2 6527311.7,851725.1 6527315.0,851722.3 6527313.2)))
bdnb-bg-24KQ-84H3-GGMX;MULTIPOLYGON (((872788.4 6569296.4,872793.7 6569294.7,872783.7 6569268.2,872778.2 6569270.2,872788.4 6569296.4)),((872782.1 6569263.3,872784.1 6569259.3,872781.6 6569258.1,872779.6 6569262.2,872782.1 6569263.3)))
bdnb-bg-26BD-5MHR-V9VY;MULTIPOLYGON (((871198.3 6521764.0,871199.6 6521763.7,871202.1 6521773.2,871210.0 6521771.1,871213.8 6521770.1,871224.5 6521767.2,871223.9 6521757.0,871223.3 6521742.8,871220 6521743,871220.3 6521752.3,871212.1 6521754.0,871206.8 6521755.1,871206.6 6521753.9,871197.9 6521755.9,871199.2 6521762.5,871198.2 6521762.7,871198.3 6521764.0)))
bdnb-bg-2C7C-K9EX-WQWY;MULTIPOLYGON (((900791.0 6570088.2,900770.8 6570108.3,900751.7 6570089.2,900771.7 6570069.6,900791.0 6570088.2)))
bdnb-bg-2CMM-16VU-WSX7;MULTIPOLYGON (((927283.8 6584545.9,927296.4 6584576.8,927310.0 6584571.4,927297.4 6584540.4,927283.8 6584545.9)))
bdnb-bg-2CTG-5SEE-QSBX;MULTIPOLYGON (((836542.7 6543838.2,836529.3 6543830.5,836524.9 6543837.8,836525.6 6543838.2,836515.4 6543855.8,836546.0 6543873.6,836559.3 6543881.3,836556.7 6543885.6,836570.1 6543893.5,836588.3 6543862.8,836574.9 6543854.9,836560.7 6543847.7,836551.8 6543846.3,836541.6 6543840.3,836542.7 6543838.2)),((836590.4 6543855.7,836591.5 6543853.8,836589.1 6543852.4,836588.0 6543854.4,836590.4 6543855.7)))
bdnb-bg-2FZG-FKV8-KSWB;MULTIPOLYGON (((859417.4 6529302.8,859416.8 6529262.3,859416.5 6529242.8,859290.6 6529244.7,859291.8 6529325.3,859417.7 6529323.5,859417.4 6529302.8)),((859420.1 6529250.1,859420.9 6529250.8,859421.7 6529251.2,859422.7 6529251.5,859423.6 6529251.5,859424.3 6529251.5,859424.9 6529251.3,859425.5 6529251.1,859426.4 6529250.5,859427.1 6529249.8,859427.6 6529249.0,859428.0 6529248.1,859428.1 6529247.5,859428.1 6529246.8,859428.1 6529246.2,859427.8 6529245.2,859427.4 6529244.3,859426.8 6529243.6,859426.3 6529243.1,859425.5 6529242.6,859424.5 6529242.3,859422.9 6529242.2,859422.0 6529242.4,859420.8 6529243.0,859420.3 6529243.4,859419.6 6529244.1,859419.0 6529245.3,859418.9 6529245.9,859418.8 6529246.9,859419.0 6529248.2,859419.5 6529249.4,859420.1 6529250.1)),((859460.7 6529251.2,859458.5 6529251.2,859458.6 6529255.1,859460.8 6529255.1,859460.7 6529251.2)))
bdnb-bg-2M2S-MHWS-XEPV;MULTIPOLYGON (((848747.4 6593766.6,848746.3 6593767.6,848739.1 6593774.2,848736.5 6593776.1,848732.9 6593778.7,848719.7 6593764.8,848735.6 6593749.4,848734.5 6593748.3,848753.7 6593730.3,848769.3 6593745.9,848759.3 6593755.5,848747.4 6593766.6)))
bdnb-bg-2S4A-F4VC-9WEL;MULTIPOLYGON (((890259.4 6526421.9,890231.1 6526411.1,890227.2 6526421.2,890255.7 6526431.9,890259.4 6526421.9)),((890248.9 6526457.4,890238.7 6526485.7,890249.5 6526489.8,890259.4 6526461.3,890248.9 6526457.4)))
bdnb-bg-31VV-KJ1Y-GZED;MULTIPOLYGON (((904029.3 6576195.6,904013.5 6576174.3,903990.1 6576191.9,904020.6 6576221.7,904038.6 6576242.0,904060.3 6576226.1,904058.6 6576224.0,904064.8 6576219.7,904064.3 6576219.1,904067.9 6576216.0,904050.6 6576192.0,904042.4 6576198.3,904038.1 6576191.2,904034.2 6576193.8,904033.3 6576192.2,904029.3 6576195.6)))
bdnb-bg-32DZ-QYTG-G4CS;MULTIPOLYGON (((876643.2 6568375.2,876638.9 6568442.2,876691.7 6568445.3,876695.6 6568378.4,876643.2 6568375.2)),((876702.0 6568344.1,876702.2 6568338.1,876697.9 6568338.0,876697.9 6568336.5,876626.3 6568334.3,876625.1 6568365.3,876696.6 6568367.4,876697.5 6568343.9,876702.0 6568344.1)),((876696.4 6568454.8,876636.3 6568463.8,876639.7 6568484.3,876699.8 6568475.2,876696.4 6568454.8)),((876745.6 6568335.7,876719.6 6568336.8,876719.9 6568344.6,876745.9 6568343.5,876745.6 6568335.7)),((876777.3 6568385.3,876788.4 6568448.8,876796.5 6568447.4,876785.5 6568384.0,876777.3 6568385.3)),((876825.1 6568334.3,876825.1 6568331.1,876814.9 6568331.1,876814.9 6568334.3,876825.1 6568334.3)),((876859.4 6568336.0,876793.6 6568344.9,876795.1 6568354.1,876811.8 6568463.7,876816.5 6568463.2,876875.7 6568454.8,876859.4 6568336.0)))
bdnb-bg-33CB-D1LN-XWL5;MULTIPOLYGON (((915239.8 6558271.6,915243.0 6558281.7,915243.5 6558283.1,915258.0 6558278.8,915257.6 6558276.9,915254.2 6558267.3,915243.9 6558270.3,915243.6 6558269.1,915242.8 6558266.8,915239.7 6558267.6,915239.5 6558267.8,915240.3 6558270.5,915240.6 6558271.3,915239.8 6558271.6)),((915265.1 6558273.0,915262.2 6558264.8,915254.9 6558267.1,915257.9 6558275.6,915265.1 6558273.1,915265.1 6558273.0)))
bdnb-bg-38J8-Q111-U91P;MULTIPOLYGON (((851020.5 6526535.9,851008 6526531,851006.2 6526535.4,851018.6 6526540.4,851020.5 6526535.9)),((851031.5 6526704.2,851039.5 6526688.1,851006.1 6526671.6,851002.8 6526678.3,851000.7 6526677.3,850997.5 6526683.9,850994.2 6526690.5,850991.0 6526697.2,850993.0 6526698.2,850989.7 6526704.9,851023.1 6526721.4,851031.5 6526704.2)),((851052.4 6526633.9,851054.8 6526628.0,851051.6 6526626.7,851049.2 6526632.7,851052.4 6526633.9)),((851069.2 6526580.5,851070.7 6526576.8,851060.9 6526572.9,851059.5 6526576.5,851069.2 6526580.5)),((851059.9 6526557.8,851061.7 6526558.6,851060.7 6526561.3,851058.8 6526566.1,851061.6 6526567.2,851062.5 6526567.6,851062.4 6526568.3,851063.7 6526568.8,851076.3 6526573.8,851090.9 6526579.6,851093.6 6526573.0,851097.3 6526574.5,851097.7 6526573.5,851100.4 6526567.1,851096.6 6526565.6,851099.2 6526559.2,851099.6 6526558.4,851101.5 6526553.4,851091.5 6526549.5,851089.7 6526554.2,851089.3 6526555.3,851084.7 6526553.5,851071.5 6526548.3,851070.5 6526547.9,851069.6 6526550.4,851067.5 6526551.7,851060.7 6526556.1,851059.9 6526557.8)),((851066.1 6526642.9,851053.2 6526638.2,851050.2 6526645.1,851063.1 6526649.7,851066.1 6526642.9)),((851073.8 6526585.9,851076.7 6526587.1,851078.5 6526582.2,851075.6 6526581.0,851073.8 6526585.9)),((851076.4 6526734.5,851079.8 6526728.1,851075.3 6526725.6,851071.8 6526731.9,851070.4 6526731.1,851067.2 6526736.9,851074.6 6526741.0,851077.8 6526735.2,851076.4 6526734.5)),((851081.1 6526585.1,851089.1 6526588.2,851090.5 6526584.5,851082.5 6526581.2,851081.1 6526585.1)),((851079.3 6526540.1,851088.7 6526543.7,851097.9 6526519.8,851099.0 6526517.1,851102.0 6526509.4,851092.3 6526505.6,851090.7 6526509.8,851088.4 6526515.9,851086.6 6526520.5,851084.2 6526519.6,851082.7 6526523.5,851085.2 6526524.4,851079.3 6526540.1)),((851100.8 6526528.4,851111.0 6526532.7,851115.1 6526522.7,851105.0 6526518.4,851100.8 6526528.4)))
bdnb-bg-38JU-DESH-99FM;MULTIPOLYGON (((887931.0 6529873.7,887930.6 6529862.4,887937.4 6529863.2,887938.7 6529853.7,887932.0 6529852.8,887930.3 6529852.6,887932.5 6529832.6,887943.5 6529834.0,887940.9 6529853.9,887945.5 6529854.4,887944.0 6529864.5,887942.3 6529864.3,887941.1 6529872.7,887952.3 6529879.0,887949.5 6529884.1,887944.8 6529892.5,887943.7 6529892.0,887933.9 6529886.6,887935.2 6529883.5,887933.2 6529883.3,887932.8 6529879.3,887934.9 6529879.4,887935.4 6529876.8,887932.8 6529876.6,887933.2 6529874.1,887931.0 6529873.8,887931.0 6529873.7)))
bdnb-bg-3BV4-61DW-JWTA;MULTIPOLYGON (((871507.5 6571749.2,871527.4 6571746.9,871533.0 6571797.5,871512.9 6571799.6,871507.5 6571749.2)))
bdnb-bg-3FKP-33JS-EMVL;MULTIPOLYGON (((898311 6566895,898331.9 6566887.8,898343.1 6566919.0,898321.4 6566926.6,898311 6566895)))
bdnb-bg-3KUP-NUVV-P4QZ;MULTIPOLYGON (((896897.3 6572096.8,896908.2 6572096.2,896911.0 6572106.5,896902.5 6572107.0,896902.6 6572110.1,896897.2 6572112.0,896897.3 6572096.8)))
bdnb-bg-3PVG-R7H3-9CYA;MULTIPOLYGON (((896578.8 6560959.2,896574.2 6560961.6,896573.6 6560960.5,896563.9 6560965.7,896567.1 6560971.7,896565.9 6560972.2,896567.8 6560975.8,896576.6 6560971.0,896578.5 6560974.3,896580.5 6560973.3,896600.3 6560962.8,896586.7 6560935.1,896570.4 6560943.4,896578.8 6560959.2)))
bdnb-bg-3XQV-94XP-FBNB;MULTIPOLYGON (((894042.7 6547884.4,894040 6547899,894039.5 6547901.5,894045.9 6547902.5,894047.9 6547891.9,894053.3 6547892.6,894052.7 6547895.6,894054.0 6547895.8,894052.7 6547905.7,894056.4 6547906.1,894056.2 6547907.6,894063.6 6547908.5,894065.3 6547897.6,894068.5 6547898.0,894070.0 6547887.6,894066.9 6547887.1,894068.7 6547876.0,894061.3 6547875.1,894057.4 6547874.3,894055.7 6547885.8,894048.9 6547884.7,894048.8 6547885.4,894042.7 6547884.4)))
